name;slug;value;date_of_information;ranking;region
"Saint Vincent and the Grenadines";"saint-vincent-and-the-grenadines";"6";"2021";175;"Central America and the Caribbean"
"Benin";"benin";"6";"2021";176;"Africa"
"Tonga";"tonga";"6";"2021";177;"Australia and Oceania"
"Timor-Leste";"timor-leste";"6";"2021";178;"East and Southeast Asia"
"Guam";"guam";"5";"2021";179;"Australia and Oceania"
"Northern Mariana Islands";"northern-mariana-islands";"5";"2021";180;"Australia and Oceania"
"Mauritius";"mauritius";"5";"2021";181;"Africa"
"Montenegro";"montenegro";"5";"2021";182;"Europe"
"Samoa";"samoa";"4";"2021";183;"Australia and Oceania"
"Bahrain";"bahrain";"4";"2021";184;"Middle East"
"Comoros";"comoros";"4";"2021";185;"Africa"
"French Southern and Antarctic Lands";"french-southern-and-antarctic-lands";"4";"2021";186;"Antarctica"
"Trinidad and Tobago";"trinidad-and-tobago";"4";"2021";187;"Central America and the Caribbean"
"Svalbard";"svalbard";"4";"2021";188;"Europe"
"British Virgin Islands";"british-virgin-islands";"4";"2021";189;"Central America and the Caribbean"
"Albania";"albania";"3";"2021";190;"Europe"
"Bhutan";"bhutan";"3";"2021";191;"South Asia"
"Antigua and Barbuda";"antigua-and-barbuda";"3";"2021";192;"Central America and the Caribbean"
"Cayman Islands";"cayman-islands";"3";"2021";193;"Central America and the Caribbean"
"Palau";"palau";"3";"2021";194;"Australia and Oceania"
"Grenada";"grenada";"3";"2021";195;"Central America and the Caribbean"
"American Samoa";"american-samoa";"3";"2021";196;"Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha";"saint-helena-ascension-and-tristan-da-cunha";"2";"2021";197;"Africa"
"West Bank";"west-bank";"2";"2021";198;"Middle East"
"Wallis and Futuna";"wallis-and-futuna";"2";"2021";199;"Australia and Oceania"
"Sao Tome and Principe";"sao-tome-and-principe";"2";"2021";200;"Africa"
"Dominica";"dominica";"2";"2021";201;"Central America and the Caribbean"
"Saint Pierre and Miquelon";"saint-pierre-and-miquelon";"2";"2021";202;"North America"
"Saint Lucia";"saint-lucia";"2";"2021";203;"Central America and the Caribbean"
"Saint Kitts and Nevis";"saint-kitts-and-nevis";"2";"2021";204;"Central America and the Caribbean"
"Guernsey";"guernsey";"2";"2021";205;"Europe"
"Luxembourg";"luxembourg";"2";"2021";206;"Europe"
"Virgin Islands";"virgin-islands";"2";"2021";207;"Central America and the Caribbean"
"Hong Kong";"hong-kong";"2";"2021";208;"East and Southeast Asia"
"Macau";"macau";"1";"2021";209;"East and Southeast Asia"
"Jan Mayen";"jan-mayen";"1";"2021";210;"Europe"
"Barbados";"barbados";"1";"2021";211;"Central America and the Caribbean"
"Saint Barthelemy";"saint-barthelemy";"1";"2021";212;"Central America and the Caribbean"
"Tuvalu";"tuvalu";"1";"2021";213;"Australia and Oceania"
"Norfolk Island";"norfolk-island";"1";"2021";214;"Australia and Oceania"
"Gibraltar";"gibraltar";"1";"2021";215;"Europe"
"Brunei";"brunei";"1";"2021";216;"East and Southeast Asia"
"Isle of Man";"isle-of-man";"1";"2021";217;"Europe"
"Montserrat";"montserrat";"1";"2021";218;"Central America and the Caribbean"
"Cocos (Keeling) Islands";"cocos-keeling-islands";"1";"2021";219;"Australia and Oceania"
"Paracel Islands";"paracel-islands";"1";"2021";220;"East and Southeast Asia"
"Malta";"malta";"1";"2021";221;"Europe"
"Aruba";"aruba";"1";"2021";222;"Central America and the Caribbean"
"Curacao";"curacao";"1";"2021";223;"Central America and the Caribbean"
"Akrotiri";"akrotiri";"1";"2021";224;"Europe"
"Gambia, The";"gambia-the";"1";"2021";225;"Africa"
"Niue";"niue";"1";"2021";226;"Australia and Oceania"
"Anguilla";"anguilla";"1";"2021";227;"Central America and the Caribbean"
"Wake Island";"wake-island";"1";"2021";228;"Australia and Oceania"
"Nauru";"nauru";"1";"2021";229;"Australia and Oceania"
"British Indian Ocean Territory";"british-indian-ocean-territory";"1";"2021";230;"South Asia"
"Gaza Strip";"gaza-strip";"1";"2021";231;"Middle East"
"Faroe Islands";"faroe-islands";"1";"2021";232;"Europe"
"Christmas Island";"christmas-island";"1";"2021";233;"Australia and Oceania"
"Saint Martin";"saint-martin";"1";"2021";234;"Central America and the Caribbean"
"Bermuda";"bermuda";"1";"2021";235;"North America"
"Sint Maarten";"sint-maarten";"1";"2021";236;"Central America and the Caribbean"
"Jersey";"jersey";"1";"2021";237;"Europe"
